flight_id,flight_number,departure_city,destination,departure_time,arrival_time,total_seats,seats_booked,price
1,M369,Tokyo,Auckland,2025-05-20 01:54:39.778318,2025-05-20 11:54:39.778318,249,159,1359.0
2,F241,Toronto,Sydney,2025-07-04 04:14:41.905276,2025-07-04 09:14:41.905276,230,176,245.45
3,J742,New York,Paris,2025-07-13 02:17:53.732928,2025-07-13 06:17:53.732928,140,158,943.04
4,A579,Toronto,Mumbai,2025-07-09 12:05:30.582487,2025-07-09 23:05:30.582487,235,114,1460.09
5,T649,New York,Paris,2025-06-04 19:15:59.220072,2025-06-05 07:15:59.220072,168,137,273.94
6,K103,Toronto,Paris,2025-05-24 08:05:40.780970,2025-05-24 17:05:40.780970,167,178,1171.51
7,U405,Dubai,London,2025-06-03 23:21:01.605783,2025-06-04 11:21:01.605783,229,100,330.92
8,P100,Paris,Auckland,2025-06-19 11:56:03.706759,2025-06-19 21:56:03.706759,182,175,146.88
9,E159,Sydney,Berlin,2025-07-10 06:06:57.652183,2025-07-10 11:06:57.652183,161,70,238.2
10,O884,Mumbai,London,2025-07-07 23:06:27.684788,2025-07-08 09:06:27.684788,132,82,1030.46
11,Z640,Dubai,Paris,2025-06-03 06:28:01.430485,2025-06-03 12:28:01.430485,208,104,1401.9
12,F787,Tokyo,Sydney,2025-05-24 15:47:34.809129,2025-05-24 23:47:34.809129,195,162,1361.47
13,U330,Mumbai,London,2025-06-30 18:23:36.108065,2025-06-30 23:23:36.108065,116,136,149.03
14,F325,Dubai,Tokyo,2025-06-02 08:02:35.139110,2025-06-02 19:02:35.139110,101,68,1096.82
15,K132,New York,Berlin,2025-05-18 17:51:46.470086,2025-05-18 20:51:46.470086,184,68,829.54
16,S652,Berlin,Dubai,2025-07-04 08:17:13.572381,2025-07-04 13:17:13.572381,133,171,455.34
17,G196,Mumbai,Toronto,2025-06-27 08:43:09.509214,2025-06-27 13:43:09.509214,124,160,608.93
18,U789,Toronto,Dubai,2025-05-28 10:17:39.633339,2025-05-28 12:17:39.633339,125,65,675.62
19,N296,Sydney,London,2025-07-10 17:19:23.677088,2025-07-10 22:19:23.677088,148,164,313.45
20,C355,Paris,Sydney,2025-06-17 19:35:08.936048,2025-06-18 04:35:08.936048,119,163,1235.07
21,D767,Dubai,London,2025-06-10 22:46:53.550519,2025-06-11 00:46:53.550519,238,53,1457.21
22,E597,Tokyo,Paris,2025-05-28 23:39:59.746229,2025-05-29 07:39:59.746229,223,104,1313.22
23,H102,New York,Tokyo,2025-06-15 13:06:56.046571,2025-06-15 21:06:56.046571,199,117,1398.59
24,M813,Mumbai,Berlin,2025-05-18 07:25:01.344877,2025-05-18 15:25:01.344877,242,174,333.62
25,Y693,Berlin,Tokyo,2025-06-01 00:43:56.174523,2025-06-01 02:43:56.174523,238,65,1152.21
26,K588,New York,London,2025-06-02 22:03:12.590983,2025-06-03 09:03:12.590983,228,90,198.49
27,X170,Dubai,London,2025-06-05 00:23:01.232961,2025-06-05 04:23:01.232961,117,110,677.21
28,I708,Auckland,Tokyo,2025-06-21 06:31:30.169723,2025-06-21 17:31:30.169723,110,70,698.53
29,W367,Auckland,Dubai,2025-06-26 02:53:08.574892,2025-06-26 09:53:08.574892,152,130,449.39
30,V760,Toronto,Paris,2025-06-01 01:51:26.561356,2025-06-01 13:51:26.561356,176,167,556.32
31,J736,London,New York,2025-05-24 23:49:31.611016,2025-05-25 08:49:31.611016,244,75,221.1
32,V235,Tokyo,Auckland,2025-05-27 11:34:26.021980,2025-05-27 17:34:26.021980,189,67,1333.39
33,W548,Sydney,Berlin,2025-06-17 01:12:40.122900,2025-06-17 05:12:40.122900,239,127,964.12
34,W936,Dubai,New York,2025-07-03 02:09:09.990023,2025-07-03 14:09:09.990023,241,126,1405.82
35,J218,London,Tokyo,2025-05-24 22:39:37.226459,2025-05-25 04:39:37.226459,127,89,495.84
36,H308,Auckland,Tokyo,2025-06-08 22:50:41.593682,2025-06-09 05:50:41.593682,167,179,794.17
37,E533,New York,Paris,2025-05-31 01:07:36.667249,2025-05-31 13:07:36.667249,170,61,124.89
38,O859,Paris,Sydney,2025-06-15 14:09:48.968227,2025-06-15 18:09:48.968227,213,159,894.05
39,T658,London,Paris,2025-07-01 18:19:11.395790,2025-07-01 22:19:11.395790,109,144,923.86
40,W142,Paris,Mumbai,2025-06-09 07:36:05.180860,2025-06-09 11:36:05.180860,178,143,1360.59
41,P798,New York,Toronto,2025-06-19 20:28:45.693714,2025-06-20 01:28:45.693714,163,76,608.08
42,Z867,Dubai,Toronto,2025-07-02 08:09:59.112810,2025-07-02 19:09:59.112810,139,110,1313.16
43,G283,Paris,Mumbai,2025-06-26 17:52:39.573537,2025-06-26 19:52:39.573537,185,155,1227.08
44,V906,Tokyo,Sydney,2025-07-02 14:39:34.269930,2025-07-02 18:39:34.269930,127,147,1323.59
45,Z936,Mumbai,Tokyo,2025-07-02 04:24:23.825774,2025-07-02 09:24:23.825774,217,139,541.16
46,O775,Tokyo,Berlin,2025-05-22 19:28:29.668757,2025-05-22 21:28:29.668757,149,152,573.0
47,L756,London,Sydney,2025-06-18 14:09:03.475195,2025-06-18 21:09:03.475195,230,152,1057.74
48,S218,Dubai,Sydney,2025-05-22 14:02:58.511612,2025-05-22 16:02:58.511612,166,95,921.21
49,R710,Berlin,New York,2025-05-24 15:09:44.375329,2025-05-24 18:09:44.375329,211,138,1125.39
50,G623,Sydney,Mumbai,2025-07-11 01:44:26.222683,2025-07-11 12:44:26.222683,129,148,1361.32
